Feature1,Feature2,Target
114.8039951,92.75234154,0
106.5836084,111.5200713,0
94.76386067,101.4538811,0
102.9607455,111.591427,0
109.454826,107.7483161,0
110.5813112,100.6605402,0
116.1357575,102.2275506,0
98.25173955,103.3910536,0
83.59156792,100.9697411,0
93.51692149,104.3736995,0
114.1709746,103.818091,0
105.989168,115.422848,0
112.3709032,108.9994891,0
99.80129626,105.2688017,0
108.413335,105.7924668,0
106.5745608,94.21504132,0
87.64689795,111.884272,0
90.00629617,84.04440016,0
89.26297604,113.1755542,0
101.3210118,95.33080201,0
102.4264417,101.884531,0
103.9888149,87.72134883,0
92.96656058,105.7079043,0
94.03460522,91.36341543,0
99.70518462,111.6200378,0
97.849814,90.76272899,0
101.6954352,95.98864714,0
99.33975935,108.1062858,0
100.5402727,104.1635369,0
102.796961,96.94336568,0
98.5927932,95.2153478,0
100.2530528,94.0648536,0
105.0650406,91.66244507,0
83.91929832,104.5313778,0
97.88385083,110.5878807,0
105.471675,89.77959655,0
114.0373368,98.67260668,0
107.6877471,114.9433099,0
96.01573082,90.92860081,0
91.62327407,97.25210151,0
106.4034059,113.2517417,0
108.1096293,111.2981459,0
108.5115903,93.80545061,0
105.2255598,101.4745649,0
98.70206848,98.29169573,0
105.6168274,110.7283668,0
86.25886059,103.376694,0
112.8921477,89.53776832,0
99.56106979,87.50485819,0
95.73820785,86.99800401,0
98.59603415,94.12154091,0
89.79128269,111.9325807,0
89.00004835,100.5667637,0
108.3210832,108.1478296,0
106.0774383,111.5750169,0
105.0073971,92.61841318,0
114.8567496,115.282539,0
102.5771969,88.08692855,0
87.68885102,93.8569316,0
99.80460407,102.2303472,0
97.88596997,87.5346129,0
116.2351256,88.77887891,0
107.9594082,102.2235488,0
101.5529716,111.9045025,0
87.6776014,98.41922348,0
110.2847202,102.2419877,0
112.8582106,94.71446344,0
93.46622847,105.4584864,0
88.87025134,106.4303794,0
102.4244672,110.8084238,0
111.2917953,104.9029954,0
116.6241357,87.77085347,0
111.2517153,113.2084165,0
91.10210282,110.5102853,0
100.5300023,87.94127667,0
107.1111098,96.14680878,0
97.65975389,88.90812598,0
99.56885705,86.71027438,0
98.182968,91.14503582,0
101.9132075,96.02609606,0
92.99860572,109.1785278,0
95.73945343,104.2831346,0
114.6711126,100.1967427,0
95.6534744,100.2632744,0
86.42760585,94.92409011,0
96.99865631,110.1782154,0
110.1672732,91.97177567,0
107.2174312,105.7510646,0
100.6133262,97.46949149,0
112.0290817,96.62680433,0
115.1779572,82.78814866,0
104.986409,88.48149129,0
109.3043686,86.70113266,0
85.23392763,93.0216942,0
94.9053575,84.13803259,0
115.8961209,91.57379513,0
93.43474926,97.77589359,0
